SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,
-2.25,,,,,,,,,,,,,,,,,,,,,,,,
13.5,1173418.5560138896,1656519.6700919718,1430185.1433433294,941739.1406480223,1639692.5075521767,1240956.2231162265,1592953.167760022,1303191.7883541882,1422354.0215698853,1329271.0075328052,1300141.8599834517,1542499.7146971375,1499767.1217497587,1576519.9947746992,1191907.4440820962,955746.236900419,1125316.3631577045,1306240.9200781211,2002764.0569131076,1411669.7136374265,968075.1405074075,1178757.8705324382,1261010.598436147,1169699.0393640324
13.75,1190411.4461248368,1239386.3857750595,1253859.0009546503,1295175.0933608562,1630998.669584088,1437713.657767944,1651292.5273582786,1332275.0075291246,1401970.6880069673,1303243.966308169,1242543.4265898764,1374483.6435350776,1673336.6499600708,1558781.8745556176,1143070.488228187,1194265.0292560533,1315699.1032305956,1352684.2547038347,1990991.0191491246,1481597.5856809616,909128.4235288948,1210459.825468421,1175117.9677699208,1133201.5254803672
14.0,1173351.7852852345,1078121.8946265131,1501324.044996865,917340.1424864978,1595730.6639340222,1708475.101123795,1796429.045282185,1493891.7416068465,1411238.37398462,1288064.1969300136,1251006.9438616335,1544350.1607005894,1468524.364489928,1608728.044766724,1064575.4560611546,1135689.5616508722,1036645.2456981689,916285.2205613106,1983477.092986092,1502050.6356090456,1012610.1504112706,1448546.1851193309,1341490.9553281069,1116809.1802214235
14.25,1012187.8872672915,1259089.6710117757,1215950.427654095,1073461.8268467188,1563490.7408738062,1484950.46127408,1573925.1834222674,1432617.953432113,1363443.2874644548,1428814.4690389112,1203502.9718654975,1609616.8796032816,1481810.386680007,1483992.097034961,1205131.8148361966,1310550.0451338738,1085329.7744185477,795591.4900156856,1945322.1397040933,1870093.5400147587,956357.8838367164,1300942.1455018818,1095516.0427810103,1118950.5709572807
14.5,1056092.9165397286,1406253.2901847512,1582394.3093536943,1159856.572147578,1549930.2438287288,1383677.9886141345,1321600.3997237235,1564697.8778323457,1345091.621596232,1172870.6718091294,1129366.2680573985,1577373.52459082,1423478.5029732287,1691185.4833065867,1119035.634988837,1164021.1868661046,1295418.2252045423,1191630.4971013218,1701366.2428557128,1427802.7876973152,1088813.5945893675,1140196.9758553803,1204825.244290635,1192560.1660747454
14.75,1057238.903170988,1257451.422483474,1229408.2654089928,1014559.1928135902,1718195.0790549293,1429256.0165116116,1445616.6939898133,1362790.720281668,1450566.4442932904,1253481.3974816278,1327468.0640152022,1379219.9127383828,1451232.132400915,2190591.0555638075,1098609.6066360697,1525260.2602963522,983986.4989048839,1057373.737729147,1599754.6847985387,1537342.4030321687,1045266.7801273316,1211188.8789532334,1183997.9354317933,1038834.6093882546
15.0,1070360.6777633578,1163379.5637204498,1116843.19855918,1203486.9799081534,1669678.8842128664,1511697.1859489083,1264271.180841148,1375490.493000783,1474439.2579607219,1076843.9611053914,1371067.6260078326,1597254.1903072596,1254369.7472161949,2189667.8676822037,1313481.8225399181,1235330.4124500304,1021458.6752639711,971778.200143531,1674478.360855341,1520332.1996187568,1181442.3174779415,1246575.4251254797,1001863.7468742579,1309512.2454907224
15.25,812230.6817956865,1014374.2958693504,1097304.285080433,1262307.0469489694,1588617.2941428348,1475961.411267504,1473928.954112783,1327652.7580543607,1516404.1118905246,1238828.5040609762,1289252.616031468,1505547.120108053,1428163.1788027585,1960855.3732721508,1248246.5532576293,1108509.106116265,1278697.767118305,1073637.4265757352,1678110.1469603926,1367117.8271090686,875463.453291893,1071671.4038432539,1048123.9123220295,1186474.5062048808
15.5,1227322.330611363,1094678.5550172478,1080258.6954734921,1456750.4969337583,1434199.0259232074,1436256.8338351846,1078389.4089921713,1434570.6192807257,1512619.4253109545,1379430.482418567,1277281.5045668855,1650220.3654991984,1267851.8907870352,1784859.1967277825,1420308.0374067277,1464407.624495156,1048736.200836137,1462462.0843948424,1551497.7964955121,1796759.0089585334,1219738.5985490829,1425052.9694038928,1089151.9876215905,1282167.4246881604
15.75,933615.7855440825,1300160.0102651864,1150232.9895436913,1516439.0019749254,1388914.023029983,1924702.5787901133,1271495.9716591537,1203853.1935077459,1417051.3198540509,1342446.0314559564,1278294.1224358752,1472858.1299374402,1452454.4464764893,1752473.694281727,1290790.6484354734,1371621.3167809919,1046539.5548706204,1722784.3341944963,2080162.2021447867,1518091.6512076408,1095395.6409018636,1346076.6103959233,1191702.7327409834,1346650.4763482213
